img,cls
database\banded\banded_0002.jpg,database\banded
database\banded\banded_0004.jpg,database\banded
database\banded\banded_0005.jpg,database\banded
database\banded\banded_0006.jpg,database\banded
database\banded\banded_0008.jpg,database\banded
database\banded\banded_0009.jpg,database\banded
database\banded\banded_0010.jpg,database\banded
database\banded\banded_0011.jpg,database\banded
database\banded\banded_0012.jpg,database\banded
database\banded\banded_0013.jpg,database\banded
database\banded\banded_0016.jpg,database\banded
database\banded\banded_0019.jpg,database\banded
database\banded\banded_0021.jpg,database\banded
database\banded\banded_0022.jpg,database\banded
database\banded\banded_0023.jpg,database\banded
database\banded\banded_0024.jpg,database\banded
database\banded\banded_0025.jpg,database\banded
database\banded\banded_0030.jpg,database\banded
database\banded\banded_0033.jpg,database\banded
database\banded\banded_0034.jpg,database\banded
database\banded\banded_0036.jpg,database\banded
database\banded\banded_0037.jpg,database\banded
database\banded\banded_0039.jpg,database\banded
database\banded\banded_0041.jpg,database\banded
database\banded\banded_0042.jpg,database\banded
database\banded\banded_0043.jpg,database\banded
database\banded\banded_0044.jpg,database\banded
database\banded\banded_0045.jpg,database\banded
database\banded\banded_0046.jpg,database\banded
database\banded\banded_0047.jpg,database\banded
database\banded\banded_0049.jpg,database\banded
database\banded\banded_0051.jpg,database\banded
database\banded\banded_0053.jpg,database\banded
database\banded\banded_0055.jpg,database\banded
database\banded\banded_0057.jpg,database\banded
database\banded\banded_0058.jpg,database\banded
database\banded\banded_0059.jpg,database\banded
database\banded\banded_0060.jpg,database\banded
database\banded\banded_0061.jpg,database\banded
database\banded\banded_0062.jpg,database\banded
database\banded\banded_0063.jpg,database\banded
database\banded\banded_0064.jpg,database\banded
database\banded\banded_0066.jpg,database\banded
database\banded\banded_0067.jpg,database\banded
database\banded\banded_0068.jpg,database\banded
database\banded\banded_0069.jpg,database\banded
database\banded\banded_0072.jpg,database\banded
database\banded\banded_0073.jpg,database\banded
database\banded\banded_0074.jpg,database\banded
database\banded\banded_0075.jpg,database\banded
database\banded\banded_0076.jpg,database\banded
database\banded\banded_0077.jpg,database\banded
database\banded\banded_0078.jpg,database\banded
database\banded\banded_0079.jpg,database\banded
database\banded\banded_0081.jpg,database\banded
database\banded\banded_0082.jpg,database\banded
database\banded\banded_0083.jpg,database\banded
database\banded\banded_0085.jpg,database\banded
database\banded\banded_0086.jpg,database\banded
database\banded\banded_0087.jpg,database\banded
database\banded\banded_0088.jpg,database\banded
database\banded\banded_0089.jpg,database\banded
database\banded\banded_0090.jpg,database\banded
database\banded\banded_0092.jpg,database\banded
database\banded\banded_0093.jpg,database\banded
database\banded\banded_0094.jpg,database\banded
database\banded\banded_0096.jpg,database\banded
database\banded\banded_0097.jpg,database\banded
database\banded\banded_0098.jpg,database\banded
database\banded\banded_0099.jpg,database\banded
database\banded\banded_0100.jpg,database\banded
database\banded\banded_0101.jpg,database\banded
database\banded\banded_0102.jpg,database\banded
database\banded\banded_0103.jpg,database\banded
database\banded\banded_0104.jpg,database\banded
database\banded\banded_0105.jpg,database\banded
database\banded\banded_0106.jpg,database\banded
database\banded\banded_0107.jpg,database\banded
database\banded\banded_0108.jpg,database\banded
database\banded\banded_0109.jpg,database\banded
database\banded\banded_0110.jpg,database\banded
database\banded\banded_0111.jpg,database\banded
database\banded\banded_0112.jpg,database\banded
database\banded\banded_0113.jpg,database\banded
database\banded\banded_0114.jpg,database\banded
database\banded\banded_0115.jpg,database\banded
database\banded\banded_0116.jpg,database\banded
database\banded\banded_0117.jpg,database\banded
database\banded\banded_0118.jpg,database\banded
